75.3245 -21.1548 109.4310 76.0376
75.9692 -18.6019 111.4763 77.1975
66.8239 95.0379 -52.8336 -37.4082
67.5683 97.0045 -44.4293 -40.5159
70.5737 68.4462 -84.5006 44.1280
65.4630 79.2896 -56.5594 18.6445
66.6858 72.8853 -56.4099 21.2867
67.6644 96.7202 -48.7729 -39.5345
67.0134 99.7394 -46.6824 -39.2191
95.0560 -51.4053 -121.3060 -22.7453
93.5747 -48.3608 -126.5768 -21.2468
66.1680 96.6954 -43.0441 -44.5225
66.9421 99.3717 -47.3012 -41.8814
70.4209 70.0030 -80.2584 40.3428
64.1806 97.6842 -50.8097 -44.0502
71.2668 69.2612 -79.5080 39.1077
72.8687 65.8514 -83.0784 37.9761
64.8347 65.2358 -62.0335 43.3898
63.0886 102.6958 -48.7816 -47.0229
65.9926 100.1898 -51.3586 -41.2346
101.5322 -70.2912 -128.7048 -19.8355
100.4094 -69.1684 -136.2884 -16.4646
100.0427 -69.9183 -135.6460 -19.6977
98.7451 -59.6352 -126.9697 -20.2398
65.7482 97.1027 -48.7139 -30.4378
64.6262 96.0156 -43.6661 -42.7218
63.8880 97.5739 -49.2106 -41.5806
74.2117 58.8399 -86.7025 45.6462
63.5320 95.9287 -46.6791 -38.8635
67.1069 100.6770 -45.6285 -39.1927
63.4539 95.8581 -43.4918 -36.2751
68.8689 65.8912 -76.3842 37.1887
72.8366 66.4278 -80.8935 45.5687
100.4398 -61.3446 -110.7055 -20.1430
65.8572 93.1464 -30.3745 -41.9578
99.0849 -57.2840 -116.1330 -20.6025
68.6877 87.3230 -30.5242 -35.5289
68.5733 69.5197 -55.6931 27.4122
66.2901 94.5319 -41.6503 -40.8439
64.7001 65.7458 -51.7767 30.2056
67.3290 70.4810 -52.6047 23.9570
68.3105 68.2334 -50.8308 25.4074
67.8616 68.6285 -47.0964 20.6753
67.3538 77.9985 -43.8242 16.5120
96.0167 -60.1460 -124.8167 -21.4180
63.7509 79.9779 -61.0853 22.7674
64.5924 100.8460 -44.3627 -42.7046
103.0535 -67.1227 -136.5363 -20.9276
100.8112 -77.5909 -135.1609 -16.2808
65.7398 80.8595 -59.0926 20.8244
66.0282 79.6560 -64.9541 28.5410
71.1745 64.1745 -85.4723 41.7385
71.6303 67.6588 -87.8319 43.4088
96.6050 -55.1932 -122.5323 -20.9803
97.6247 -49.0395 -116.3697 -18.3807
98.8123 -69.4565 -131.6373 -16.9779
